"name";"url"
"ranchera";"https://embed.spotify.com/?uri=spotify:playlist:7bVLsTfYqQKkYOpUglYAp3"
"new wave pop";"https://embed.spotify.com/?uri=spotify:playlist:6cZIwqYksHLjlRvhMMUizF"
"indietronica";"https://embed.spotify.com/?uri=spotify:playlist:0yqVOsxA2U4P260ad60QuU"
"german hip hop";"https://embed.spotify.com/?uri=spotify:playlist:0N2gkh3nggtCtksCU2cSty"
"pop urbaine";"https://embed.spotify.com/?uri=spotify:playlist:21Le5iw1j6zgOMBtxioYfR"
"rock en espanol";"https://embed.spotify.com/?uri=spotify:playlist:0xZkDM0jIfrFATSeaGt9Ms"
"latin alternative";"https://embed.spotify.com/?uri=spotify:playlist:6PBjVS6WmDRbFXYe39j8hN"
"gangster rap";"https://embed.spotify.com/?uri=spotify:playlist:2tzFkp6VPJPeAhFe3b5uHk"
"soul";"https://embed.spotify.com/?uri=spotify:playlist:1YUIw9n6voqxPzawnEf3A2"
"k-pop boy group";"https://embed.spotify.com/?uri=spotify:playlist:7jGzify69eicmfL77zOGbm"
"latin arena pop";"https://embed.spotify.com/?uri=spotify:playlist:59qMoqvlNat6Knc0feSWJn"
"chicago rap";"https://embed.spotify.com/?uri=spotify:playlist:71hJ9e25Ub4XZwiE1FZAjI"
"italian pop";"https://embed.spotify.com/?uri=spotify:playlist:1otEUipmOvjOGGqvEHHxEy"
"heartland rock";"https://embed.spotify.com/?uri=spotify:playlist:73X32zjxrkOSaroGsaCJKx"
"k-pop girl group";"https://embed.spotify.com/?uri=spotify:playlist:64KEXfUapxhkmiqKDsBrbN"
"agronejo";"https://embed.spotify.com/?uri=spotify:playlist:1FujEQEuhDasegDbxsZQdB"
"modern country pop";"https://embed.spotify.com/?uri=spotify:playlist:1AmdZJ5lBBbe6SX1MyAst9"
"electro house";"https://embed.spotify.com/?uri=spotify:playlist:4luNnGhISZdURbFcCl2dB6"
"latin hip hop";"https://embed.spotify.com/?uri=spotify:playlist:31pfQ67BktLUcQ9n5VGnDI"
"canadian contemporary r&b";"https://embed.spotify.com/?uri=spotify:playlist:5wJb9tgSkHYu8lIXzallgA"
"pop punk";"https://embed.spotify.com/?uri=spotify:playlist:5prkai2xWcnqLxwORZSYbN"
"neo mellow";"https://embed.spotify.com/?uri=spotify:playlist:1u4LMI2YFyDRBtCJ00rbzm"
"pop rock";"https://embed.spotify.com/?uri=spotify:playlist:1voR0tqN6ZFkQ9QABvbCkZ"
"latin rock";"https://embed.spotify.com/?uri=spotify:playlist:31YWtFP5V22xiYZ2og7HOy"
